Name,API Name,Instance Family,Compute Units (ECU),Intel Turbo,Arch,Availability Zones, On Demand (Monthly) , Linux Reserved cost (Monthly) , SLES Spot Maximum cost (Monthly) , Windows On Demand cost (Monthly) 
A1 Double Extra Large,a1.2xlarge,a1,0 units,unknown,arm64,, $157.826 , $102.784 , $240.170 , unavailable 
A1 Quadruple Extra Large,a1.4xlarge,a1,0 units,unknown,arm64,, $297.840 , $187.610 , $389.090 , unavailable 
A1 Large,a1.large,a1,0 units,unknown,arm64,, $39.493 , $25.696 , $78.329 , unavailable 
A1 Medium,a1.medium,a1,0 units,unknown,arm64,, $19.710 , $11.753 , $41.245 , unavailable 
A1 Metal,a1.metal,a1,0 units,unknown,arm64,, $297.840 , $187.610 , $389.090 , unavailable 
A1 Extra Large,a1.xlarge,a1,0 units,unknown,arm64,, $78.913 , $51.392 , $115.559 , unavailable 
C1 High-CPU Medium,c1.medium,c1,5 units,unknown,"i386, x86_64",, $104.390 , $73.000 , $105.631 , $168.63 
C1 High-CPU Extra Large,c1.xlarge,c1,20 units,unknown,x86_64,, $417.560 , $292.000 , $267.472 , $674.52 
C3 High-CPU Double Extra Large,c3.2xlarge,c3,28 units,Yes,x86_64,, $337.260 , $234.330 , $246.813 , $603.71 
C3 High-CPU Quadruple Extra Large,c3.4xlarge,c3,55 units,Yes,x86_64,, $674.520 , $426.320 , $532.754 ," $1,207.42 "
C3 High-CPU Eight Extra Large,c3.8xlarge,c3,108 units,Yes,x86_64,," $1,226.400 ", $852.640 , $649.408 ," $2,195.84 "
C3 High-CPU Large,c3.large,c3,7 units,Yes,"i386, x86_64",, $84.680 , $58.400 , $103.149 , $151.11 
C3 High-CPU Extra Large,c3.xlarge,c3,14 units,Yes,x86_64,, $168.630 , $106.580 , $144.248 , $302.22 
C4 High-CPU Double Extra Large,c4.2xlarge,c4,31 units,Yes,x86_64,, $319.740 , $202.210 , $209.656 , $588.38 
C4 High-CPU Quadruple Extra Large,c4.4xlarge,c4,62 units,Yes,x86_64,, $639.480 , $404.420 , $345.655 ," $1,176.76 "
C4 High-CPU Eight Extra Large,c4.8xlarge,c4,132 units,Yes,x86_64,," $1,161.430 ", $735.840 , $537.864 ," $2,256.43 "
C4 High-CPU Large,c4.large,c4,8 units,Yes,x86_64,, $80.300 , $45.990 , $118.625 , $147.46 
C4 High-CPU Extra Large,c4.xlarge,c4,16 units,Yes,x86_64,, $159.870 , $101.470 , $136.218 , $294.19 
C5 High-CPU 12xlarge Extra Large,c5.12xlarge,c5,188 units,Yes,x86_64,," $1,578.260 ", $938.050 , $633.494 ," $3,190.10 "
C5 High-CPU 18xlarge,c5.18xlarge,c5,281 units,Yes,x86_64,," $2,233.800 "," $1,407.440 ", $895.491 ," $4,651.56 "
C5 High-CPU 24xlarge,c5.24xlarge,c5,375 units,Yes,x86_64,," $3,157.250 "," $1,876.100 "," $1,109.819 "," $6,380.93 "
C5 High-CPU Double Extra Large,c5.2xlarge,c5,39 units,Yes,x86_64,, $262.800 , $171.550 , $183.668 , $531.44 
C5 High-CPU Quadruple Extra Large,c5.4xlarge,c5,73 units,Yes,x86_64,, $526.330 , $312.440 , $268.713 ," $1,063.61 "
C5 High-CPU 9xlarge,c5.9xlarge,c5,139 units,Yes,x86_64,," $1,184.060 ", $770.880 , $557.720 ," $2,392.94 "
C5 High-CPU Large,c5.large,c5,10 units,Yes,x86_64,, $65.700 , $43.070 , $65.627 , $132.86 
C5 High-CPU Metal,c5.metal,c5,375 units,Yes,x86_64,," $2,978.400 "," $1,876.100 "," $1,073.246 "," $6,202.08 "
C5 High-CPU Extra Large,c5.xlarge,c5,20 units,Yes,x86_64,, $131.400 , $78.110 , $99.572 , $265.72 
C5A 12xlarge Extra Large,c5a.12xlarge,c5a,0 units,unknown,x86_64,," $1,484.090 ", $849.720 , $740.658 ," $3,095.93 "
C5A 16xlarge Extra Large,c5a.16xlarge,c5a,0 units,unknown,x86_64,," $1,978.300 "," $1,132.960 ", $930.385 ," $4,127.42 "
C5A 24xlarge,c5a.24xlarge,c5a,0 units,unknown,x86_64,," $2,968.180 "," $1,699.440 "," $1,422.186 "," $6,191.86 "
C5A Double Extra Large,c5a.2xlarge,c5a,0 units,unknown,x86_64,, $247.470 , $141.620 , $197.684 , $516.11 
C5A Quadruple Extra Large,c5a.4xlarge,c5a,0 units,unknown,x86_64,, $494.940 , $311.710 , $300.833 ," $1,032.22 "
C5A Eight Extra Large,c5a.8xlarge,c5a,0 units,unknown,x86_64,, $989.150 , $566.480 , $518.519 ," $2,063.71 "
C5A Large,c5a.large,c5a,0 units,unknown,x86_64,, $62.050 , $38.690 , $65.481 , $129.21 
C5A Extra Large,c5a.xlarge,c5a,0 units,unknown,x86_64,, $123.370 , $70.810 , $97.674 , $257.69 
C5AD 12xlarge Extra Large,c5ad.12xlarge,c5ad,0 units,unknown,x86_64,," $1,657.100 "," $1,043.900 ", $865.707 ," $3,268.94 "
C5AD 16xlarge Extra Large,c5ad.16xlarge,c5ad,0 units,unknown,x86_64,," $2,209.710 "," $1,265.820 "," $1,091.423 "," $4,358.83 "
C5AD 24xlarge,c5ad.24xlarge,c5ad,0 units,unknown,x86_64,," $3,314.930 "," $2,088.530 "," $1,587.385 "," $6,538.61 "
C5AD Double Extra Large,c5ad.2xlarge,c5ad,0 units,unknown,x86_64,, $275.940 , $173.740 , $241.995 , $544.58 
C5AD Quadruple Extra Large,c5ad.4xlarge,c5ad,0 units,unknown,x86_64,, $552.610 , $316.090 , $338.939 ," $1,089.89 "
C5AD Eight Extra Large,c5ad.8xlarge,c5ad,0 units,unknown,x86_64,," $1,105.220 ", $632.910 , $658.314 ," $2,179.78 "
C5AD Large,c5ad.large,c5ad,0 units,unknown,x86_64,, $69.350 , $39.420 , $70.664 , $136.51 
C5AD Extra Large,c5ad.xlarge,c5ad,0 units,unknown,x86_64,, $137.970 , $86.870 , $101.762 , $272.29 
C5 High-CPU 12xlarge Extra Large,c5d.12xlarge,c5d,188 units,Yes,x86_64,," $1,782.660 "," $1,059.960 ", $762.996 ," $3,394.50 "
C5 High-CPU 18xlarge,c5d.18xlarge,c5d,281 units,Yes,x86_64,," $2,522.880 "," $1,589.210 "," $1,240.635 "," $4,940.64 "
C5 High-CPU 24xlarge,c5d.24xlarge,c5d,375 units,Yes,x86_64,," $3,566.050 "," $2,321.400 "," $1,340.572 "," $6,789.73 "
C5 High-CPU Double Extra Large,c5d.2xlarge,c5d,39 units,Yes,x86_64,, $297.110 , $176.660 , $214.912 , $565.75 
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,c5d,73 units,Yes,x86_64,, $594.220 , $353.320 , $354.999 ," $1,131.50 "
C5 High-CPU 9xlarge,c5d.9xlarge,c5d,139 units,Yes,x86_64,," $1,337.360 ", $870.160 , $683.207 ," $2,546.24 "
C5 High-CPU Large,c5d.large,c5d,10 units,Yes,x86_64,, $74.460 , $48.180 , $75.190 , $141.62 
C5 High-CPU Metal,c5d.metal,c5d,375 units,Yes,x86_64,," $3,363.840 "," $2,119.190 "," $1,118.798 "," $6,587.52 "
C5 High-CPU Extra Large,c5d.xlarge,c5d,20 units,Yes,x86_64,, $148.920 , $88.330 , $114.683 , $283.24 
C5N 18xlarge,c5n.18xlarge,c5n,281 units,Yes,x86_64,," $2,838.240 "," $1,787.770 "," $1,421.310 "," $5,256.00 "
C5N Double Extra Large,c5n.2xlarge,c5n,39 units,Yes,x86_64,, $334.340 , $217.540 , $238.199 , $602.98 
C5N Quadruple Extra Large,c5n.4xlarge,c5n,73 units,Yes,x86_64,, $668.680 , $435.080 , $418.947 ," $1,205.96 "
C5N 9xlarge,c5n.9xlarge,c5n,139 units,Yes,x86_64,," $1,504.530 ", $894.250 , $741.826 ," $2,713.41 "
C5N Large,c5n.large,c5n,10 units,Yes,x86_64,, $83.220 , $49.640 , $73.657 , $150.38 
C5N Metal,c5n.metal,c5n,0 units,Yes,x86_64,," $2,838.240 "," $1,787.770 "," $1,139.676 "," $5,256.00 "
C5N Extra Large,c5n.xlarge,c5n,20 units,Yes,x86_64,, $167.170 , $108.770 , $119.428 , $301.49 
C6A 12xlarge Extra Large,c6a.12xlarge,c6a,0 units,unknown,x86_64,," $1,474.308 ", $975.258 , $624.077 ," $3,086.15 "
C6A 16xlarge Extra Large,c6a.16xlarge,c6a,0 units,unknown,x86_64,," $1,965.744 "," $1,300.342 ", $891.768 ," $4,114.86 "
C6A 24xlarge,c6a.24xlarge,c6a,0 units,unknown,x86_64,," $2,948.616 "," $1,950.509 "," $1,165.226 "," $6,172.30 "
C6A Double Extra Large,c6a.2xlarge,c6a,0 units,unknown,x86_64,, $245.718 , $147.767 , $201.699 , $514.36 
C6A 32xlarge,c6a.32xlarge,c6a,0 units,unknown,x86_64,," $3,931.488 "," $2,364.251 "," $1,793.537 "," $8,229.73 "
C6A 48xlarge,c6a.48xlarge,c6a,0 units,unknown,x86_64,," $5,361.120 "," $3,546.384 "," $2,150.142 "," $11,808.48 "
C6A Quadruple Extra Large,c6a.4xlarge,c6a,0 units,unknown,x86_64,, $491.436 , $325.084 , $297.621 ," $1,028.72 "
C6A Eight Extra Large,c6a.8xlarge,c6a,0 units,unknown,x86_64,, $982.872 , $591.066 , $536.769 ," $2,057.43 "
C6A Large,c6a.large,c6a,0 units,unknown,x86_64,, $61.430 , $40.639 , $64.678 , $128.59 
C6A Metal,c6a.metal,c6a,0 units,unknown,x86_64,," $5,361.120 "," $3,546.384 "," $2,294.317 "," $11,808.48 "
